sample_ID,otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C
2017April29_H01_A,High,H01,A,7,0.9,17.6625,17.66250,7,1.29462,33.89468,25.23197,25.23197,23.06074,26.73605,50.25197,47.98225
2017April29_H01_A,High,H01,A,8,0.9,17.6625,17.66250,8,1.29041,31.55688,23.43192,23.43192,21.20235,,,
2017April29_H01_A,High,H01,A,9,0.9,17.6625,17.66250,9,1.27020,34.03141,24.78254,24.78254,22.63592,,,
2017April29_H01_A,High,H01,A,10,0.9,17.6625,17.66250,10,1.27653,32.94226,23.98555,23.98555,21.63157,,,
2017April29_H01_A,High,H01,A,11,0.9,17.6625,17.66250,11,1.28245,34.14386,25.66709,25.66709,23.45582,,,
2017April29_H01_A,High,H01,A,12,0.9,17.6625,17.66250,12,1.28335,37.94031,29.94762,29.94762,28.03093,27.12313,55.67862,53.27965
2017April29_H01_A,High,H01,A,13,0.8,15.7,15.70000,13,1.28029,29.01294,21.68776,21.68776,19.71014,,,
2017April29_H01_A,High,H01,A,14,0.9,17.6625,17.66250,14,1.29542,30.59581,22.18805,22.18805,20.41719,,,
2017April29_H01_A,High,H01,A,15,0.9,17.6625,17.66250,15,1.29186,34.92765,25.98728,25.98728,23.77960,,,
2017April29_H01_A,High,H01,A,16,0.9,17.6625,17.66250,16,1.29424,34.70211,27.28460,27.28460,25.26674,,,
2017April29_H01_A,High,H01,A,17,1,19.625,19.62500,17,1.27953,42.63560,34.92700,34.92700,32.70384,24.96815,58.22798,53.75194
2017April29_H01_A,High,H01,A,18,0.7,13.7375,13.73750,18,1.29405,31.02390,26.36844,26.36844,24.42393,,,
2017April29_H01_A,High,H01,A,19,1,19.625,19.62500,19,1.28679,42.02636,36.05597,36.05597,34.28464,,,
2017April29_H01_A,High,H01,A,20,1,19.625,19.62500,20,1.28756,41.22818,35.66005,35.66005,33.74538,,,
,Low,L01,A,1,1.5,29.4375,29.43750,1,1.31270,55.38067,40.64282,40.64282,38.25293,,,
,Low,L01,A,2,1.3,25.5125,25.51250,2,1.29973,53.16598,40.05411,40.05411,37.59172,26.92544,65.15720,62.46189
,Low,L01,A,3,1.3,25.5125,25.51250,3,1.30294,51.56751,39.31645,39.31645,35.13885,,,
,Low,L01,A,4,1.2,23.55,23.55000,4,1.26919,49.45623,37.56088,37.56088,35.23741,,,
,Low,L01,A,5,1.4,27.475,27.47500,5,1.32715,52.81782,39.64214,39.64214,37.15544,,,
,Low,L01,A,6,1.3,25.5125,25.51250,6,1.28462,49.24359,36.40923,36.40923,33.68014,,,
,Low,L01,A,7,1.2,23.55,23.55000,7,1.29831,45.87103,33.28286,33.28286,30.38641,26.70549,57.92757,54.80498
,Low,L01,A,8,1.3,25.5125,25.51250,8,1.29578,51.54713,38.59706,38.59706,36.04487,,,
,Low,L01,A,9,1.2,23.55,23.55000,9,1.28319,47.84339,36.05944,36.05944,33.50217,,,
,Low,L01,A,10,1.3,25.5125,25.51250,10,1.28174,51.17329,39.08770,39.08770,36.40145,,,
,Low,L01,A,11,1.3,25.5125,25.51250,11,1.29089,51.10914,39.32175,39.32175,37.25215,,,
,Low,L01,A,12,1.4,27.475,27.47500,12,1.29725,54.71964,41.81554,41.81554,38.97783,28.00084,67.75336,64.76268
,Low,L01,A,13,1.3,25.5125,25.51250,13,1.29277,53.20262,40.73557,40.73557,37.69081,,,
,Low,L01,A,14,1.4,27.475,27.47500,14,1.26070,53.68241,41.33775,41.33775,38.90745,,,
,Low,L01,A,15,1.2,23.55,23.55000,15,1.29230,50.62334,39.16674,39.16674,36.60570,,,
,Low,L01,A,16,1.3,25.5125,25.51250,16,1.29781,50.86220,39.05067,39.05067,36.82535,,,
,Low,L01,A,17,1.2,23.55,23.55000,17,1.29540,49.87483,38.22054,38.22054,35.84657,25.75641,62.28393,59.32626
,Low,L01,A,18,1.1,21.5875,21.58750,18,1.29554,43.73773,33.27740,33.27740,30.85387,,,
,Low,L01,A,19,1.3,25.5125,25.51250,19,1.27834,51.38042,38.47168,38.47168,35.97865,,,
,Low,L05,A,1,1.1,21.5875,21.58750,1,1.30343,34.26089,21.85335,21.85335,19.64090,26.70737,46.66426,44.55102
,Low,L05,A,2,0.8,15.7,15.70000,2,1.32089,33.60274,27.23109,27.23109,25.12660,,,
,Low,L05,A,3,0.9,17.6625,17.66250,3,1.27498,38.80583,31.32908,31.32908,28.20695,,,
,Low,L05,A,4,0.9,17.6625,17.66250,4,1.24966,38.64811,31.03898,31.03898,28.45014,,,
,Low,L05,A,5,0.8,15.7,15.70000,5,1.30298,32.50758,26.12023,26.12023,23.94263,,,
,Low,L05,A,6,1,19.625,19.62500,6,1.29853,39.06652,31.35117,31.35117,29.38490,25.18351,54.92440,52.63207
,Low,L05,A,7,0.6,11.775,11.77500,7,1.28897,25.87755,20.67617,20.67617,17.48553,,,
,Low,L05,A,8,1,19.625,19.62500,8,1.27704,38.03399,29.47939,29.47939,27.44191,,,
,Low,L05,A,9,0.8,15.7,15.70000,9,1.27430,29.60530,23.77829,23.77829,21.97111,,,
,Low,L05,A,10,0.9,17.6625,17.66250,10,1.29648,40.50630,34.04466,34.04466,31.34516,,,
,Low,L05,A,11,0.9,17.6625,17.66250,11,1.27823,35.58289,29.67543,29.67543,27.92614,28.14649,56.41686,54.13839
,Low,L05,A,12,1,19.625,19.62500,12,1.29096,41.02454,33.39880,33.39880,31.09908,,,
,Low,L05,A,13,0.8,15.7,15.70000,13,1.28180,36.91620,31.67875,31.67875,29.60266,,,
,Low,L05,A,14,0.9,17.6625,17.66250,14,1.29452,45.02112,40.08909,40.08909,38.41425,,,
,Low,L05,A,15,0.9,17.6625,17.66250,15,1.30714,34.72462,29.90043,29.90043,28.01439,,,
