"","sample_ID","otter_region","site","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sediment_ww_pre_60C","pan_sediment_dw_post_60C","pan_sediment_dw_pre_450C","pan_sediment_dw_post450C","crucible_weight","crucible_sediment_dw_pre_950C","crucible_sediment_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","dry_bulk_density","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","percent_om","percent_im","om.im_ratio","om_density","im_density"
"52","2017Aug22_M08_A","Mid","M08","A",12,0.9,17.6625,17.6625,12,1.28501,30.98365,22.55499,22.55499,20.74073,29.57194,50.9931,47.65769,29.69864,TRUE,21.26998,1.20424515215853,21.26998,19.45572,1.81426,21.42116,18.08575,3.33541,8.52967421690101,15.5706320292645,0.54393912592455,2.18481380975513,4.01665132296107
"53","2017Aug22_M08_A","Mid","M08","A",13,1,19.625,19.625,13,1.28866,36.45768,25.2529,25.2529,23.13576,NA,NA,NA,35.16902,TRUE,23.96424,1.22110777070064,23.96424,21.8471,2.11714,NA,NA,NA,8.83458019115148,NA,NA,2.58525610566115,NA
"54","2017Aug22_M08_A","Mid","M08","A",14,1,19.625,19.625,14,1.28271,32.15986,21.93838,21.93838,19.79296,NA,NA,NA,30.87715,TRUE,20.65567,1.05251821656051,20.65567,18.51025,2.14542,NA,NA,NA,10.3865911877949,NA,NA,2.25809363217325,NA
"55","2017Aug22_M08_A","Mid","M08","A",15,0.9,17.6625,17.6625,15,1.30049,32.1355,23.09045,23.09045,21.00101,NA,NA,NA,30.83501,TRUE,21.78996,1.23368492569002,21.78996,19.70052,2.08944,NA,NA,NA,9.58900337586668,NA,NA,2.57771063113376,NA
"56","2017Aug22_M08_A","Mid","M08","A",16,0.9,17.6625,17.6625,16,1.28147,32.13356,22.79587,22.79587,20.28688,NA,NA,NA,30.85209,TRUE,21.5144,1.21808351026185,21.5144,19.00541,2.50899,NA,NA,NA,11.6619101624958,NA,NA,3.05615934641189,NA
"57","2017Aug22_M08_A","Mid","M08","A",17,1,19.625,19.625,17,1.28899,36.21708,26.88213,26.88213,24.52244,24.59652,49.98712,42.75714,34.92809,TRUE,25.59314,1.30410904458599,25.59314,23.23345,2.35969,25.3906,18.16062,7.22998,9.22000973698421,28.475026190795,0.326375729946694,3.07729307141911,9.42868231017579
"58","2017Aug22_M08_A","Mid","M08","A",18,0.9,17.6625,17.6625,18,1.29998,33.18968,24.28878,24.28878,21.76751,NA,NA,NA,31.8897,TRUE,22.9888,1.30155980184006,22.9888,20.46753,2.52127,NA,NA,NA,10.9673841174833,NA,NA,3.28158368158528,NA
"59","2017Aug22_M08_A","Mid","M08","A",19,0.9,17.6625,17.6625,19,1.28554,35.22683,26.46217,26.46217,23.93383,NA,NA,NA,33.94129,TRUE,25.17663,1.42542845010616,25.17663,22.64829,2.52834,NA,NA,NA,10.0424083763395,NA,NA,3.6039677675414,NA
"60","2017Aug22_M08_A","Mid","M08","A",20,0.9,17.6625,17.6625,20,1.27845,35.36879,27.27786,27.27786,24.81731,NA,NA,NA,34.09034,TRUE,25.99941,1.4720118895966,25.99941,23.53886,2.46055,NA,NA,NA,9.46386860317215,NA,NA,3.62195885494692,NA
"61","2017Aug22_M08_A","Mid","M08","A",21,0.6,11.775,11.775,21,1.28702,19.90504,16.16541,16.16541,14.74978,NA,NA,NA,18.61802,TRUE,14.87839,1.26355753715499,14.87839,13.46276,1.41563,NA,NA,NA,9.5146719503925,NA,NA,1.78872995632272,NA
